USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
724340,13994,LAMBERT-ST LOUIS INTERNATIONAL AP,US,MO,KSTL,38.753,-90.374,161.9,19730101,20200212
724345,3966,SPIRIT OF ST LOUIS AIRPORT,US,MO,KSUS,38.657,-90.656,140.8,19730101,20200211
724347,53904,ST CHARLES CO SMARTT ARPT,US,MO,KSET,38.929,-90.428,132.9,20060101,20200211
724350,3816,BARKLEY REGIONAL AIRPORT,US,KY,KPAH,37.056,-88.774,125.9,19890101,20200212
724354,63815,SOMERSET-PULASKI CO-J.T. WILSON FIELD AIRPORT,US,KY,KSME,37.054,-84.615,282.6,20060101,20200212
724356,53866,SHELBYVILLE MINUCIPAL ARPT,US,IN,KGEZ,39.578,-85.803,245.1,20060101,20200211
724360,13803,COLUMBUS BAKALAR,US,IN,KBAK,39.267,-85.9,199.9,19840816,19840823
724361,13803,COLUMBUS BAKALAR,US,IN,KBAK,39.267,-85.9,199.9,19430501,19900206
724363,13803,COLUMBUS MUNICIPAL AIRPORT,US,IN,KBAK,39.267,-85.9,200,19900208,20200211
724365,53896,HUNTINGBURG AIRPORT,US,IN,KHNB,38.249,-86.954,161.2,20060101,20200212
724370,93823,TERRE HAUTE HULMAN REGIONAL A,US,IN,HUF,39.45,-87.3,175.3,19480101,19850531
724371,93823,TERRE HAUTE HULMAN REGIONAL A,US,IN,,39.45,-87.3,175.3,19850531,19900206
724373,3868,TER HUTE INTL-HULMAN FD AP,US,IN,KHUF,39.452,-87.309,175.3,20050101,20200211
724373,93823,TERRE HAUTE INTL HU,US,IN,KHUF,39.45,-87.3,180,19900208,19991231
724375,3893,MONROE COUNTY AIRPORT,US,IN,KBMG,39.133,-86.617,257.3,20060101,20200211
724380,93819,INDIANAPOLIS INTERNATIONAL AIRPORT,US,IN,KIND,39.725,-86.282,241.1,19421006,20200211
724384,53842,EAGLE CREEK AIRPARK ARPT,US,IN,KEYE,39.825,-86.296,250.9,20060101,20200211
724385,4828,ANRSN MUNI DRNGTON FLD AP,US,IN,KAID,40.117,-85.617,274.3,20060101,20200211
724386,14835,PURDUE UNIVERSITY AIRPORT,US,IN,KLAF,40.412,-86.937,182.6,19730101,20200211
724387,54807,KOKOMO MUNICIPAL AIRPORT,US,IN,KOKK,40.528,-86.059,253,20060101,20200211
724388,14829,GOSHEN MUNICIPAL AIRPORT,US,IN,KGSH,41.533,-85.783,253,19961002,20200212
724389,12991,SHIP SHOAL 207A,US,LA,KGSM,28.517,-90.967,32.3,20061020,20100513
724390,93822,ABRAHAM LINCOLN CAPITAL AIRPORT,US,IL,KSPI,39.845,-89.684,181.1,19730101,20200212
724395,3958,ST LOUIS REGIONAL AIRPORT,US,IL,KALN,38.883,-90.05,165.5,20060101,20200211
724396,93989,QUINCY RGNL BALDWIN,US,IL,KUIN,39.937,-91.192,233.5,19730101,20100801
724397,54831,CENTRAL ILLINOIS REGIONAL AIRPORT,US,IL,KBMI,40.483,-88.95,263.7,20060101,20200211
724400,13995,SPRINGFIELD-BRANSON REGIONAL AIRPORT,US,MO,KSGF,37.24,-93.39,384.7,19730101,20200212
724420,13997,ROLLA NATIONAL AIRPORT,US,MO,KVIH,38.132,-91.765,338.3,20050101,20200212
724430,93989,QUINCY RGNL-BLDWN FLD ARPT,US,IL,KUIN,39.937,-91.192,234.4,20050101,20200212
724450,3945,COLUMBIA REGIONAL AIRPORT,US,MO,KCOU,38.817,-92.218,272.2,19730101,20200211
724453,3994,SEDALIA MEMORIAL AIRPORT,US,MO,KDMO,38.704,-93.183,274.3,20060101,20200211
724454,93996,FARMINGTON REGIONAL ARPT,US,MO,KFAM,37.761,-90.428,288.7,19950210,20200212
724455,14938,KIRKSVILLE REGIONAL ARPT,US,MO,KIRK,40.097,-92.543,294.4,19730101,20200211
724456,13997,ROLLA/VICHY AIRPORT,US,MO,KVIH,38.131,-91.768,346.6,19730101,20100801
724457,3938,WAYNESVILLE REGIONAL AIRPORT AT FORNEY FIELD,US,MO,KTBN,37.75,-92.15,353.3,19630320,20200212
724458,3963,JEFFERSON CITY MEMO ARPT,US,MO,KJEF,38.591,-92.156,174.7,20060101,20200211
724459,53931,LEE C FINE MEMORIAL ARPT,US,MO,KAIZ,38.096,-92.553,264.9,20060101,20200212
724460,3947,KANSAS CITY INTERNATIONAL AIRPORT,US,MO,KMCI,39.297,-94.731,306.3,19730101,20200211
724461,13988,KANSAS CITY DOWNTOWN AP,US,MO,KMKC,39.121,-94.597,228.6,19480101,19900206
724462,3073,CROCKETT HOUSTON COUNTY AP,US,TX,KDKR,31.307,-95.404,106.1,20050611,20200122
724463,13988,C.R. WHEELER DOWNTOWN ARPT,US,MO,KMKC,39.121,-94.597,226.2,19900208,20200211
724464,53916,AGRICULTURAL SCIENCE CENTER,US,MO,KCDJ,39.823,-93.579,234.4,20060101,20200211
724466,3929,RICHARD GEBAUR,US,MO,KGVW,38.844,-94.56,321.9,19540327,20041231
724467,13930,WHITEMAN AFB AIRPORT,US,MO,KSZL,38.717,-93.55,265.2,19421201,20200211
724468,3967,JOHNSON CO EXECUTIVE ARPT,US,KS,KOJC,38.85,-94.739,326.1,20060101,20200211
724475,93909,NEW CENTURY AIRCENTER ARPT,US,KS,KIXD,38.832,-94.89,331.3,19781124,20200211
724490,13993,ROSECRANS MEMORIAL AIRPORT,US,MO,KSTJ,39.774,-94.923,249.3,19440301,20200211
724500,3928,WICHITA EISENHOWER NATIONAL,US,KS,KICT,37.648,-97.43,402.6,19730101,20200211
724502,13932,STROTHER FIELD AIRPORT,US,KS,KWLD,37.168,-97.037,350.5,20060101,20200211
724504,3974,COLONEL JAMES JABARA ARPT,US,KS,KAAO,37.746,-97.221,433.1,20060101,20200211
724505,3923,MCCONNELL AFB AIRPORT,US,KS,KIAB,37.617,-97.267,417.9,19531201,20200211
724506,13986,HUTCHINSON MUNICIPAL ARPT,US,KS,KHUT,38.065,-97.861,470.3,19450201,20200211
724507,13981,CHANUTE MARTIN JOHNSON APT,US,KS,KCNU,37.67,-95.484,300.2,19730101,20200211
724508,3997,LAWRENCE MUNICIPAL AIRPORT,US,KS,KLWC,39.008,-95.212,253.6,20060101,20200211
724509,53939,NEWTON-CITY-COUNTY AIRPORT,US,KS,KEWK,38.068,-97.275,467,20060101,20200211
724510,13985,DODGE CITY REGIONAL AIRPORT,US,KS,KDDC,37.769,-99.968,787,19430419,20200211
724515,23064,GARDEN CITY REGIONAL ARPT,US,KS,KGCK,37.927,-100.725,878.4,19430201,20200211
724516,23020,LIBERAL MUNICIPAL AIRPORT,US,KS,KLBL,37.05,-100.967,875.7,20060101,20200211
724517,13940,GREAT BEND MUNICIPAL ARPT,US,KS,KGBD,38.35,-98.867,573,20060101,20200211
724518,3968,HAYS REGIONAL AIRPORT,US,KS,KHYS,38.85,-99.267,609,20060101,20200211
724519,93967,COFFEYVILLE MUNICIPAL ARPT,US,KS,KCFV,37.091,-95.566,229.2,20060101,20200211
724520,3957,MEDICINE LODGE,US,KS,KP28,37.284,-98.553,467.9,19780310,20200211
724530,13969,PONCA CITY REGIONAL ARPT,US,OK,KPNC,36.737,-97.102,304.8,20050101,20200211
724550,13947,MARSHALL ARMY AIRFIELD,US,KS,KFRI,39.05,-96.767,324.6,19380817,20200211
