0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2020,1,3,3,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,10.0,4.4,68.0,101610.0,0.0,0.0,328.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,7.6,9.99,99,9999,99999,9,999999999,3.6,0.21,0.0,99,999.0,0.8,9
2020,1,3,4,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,9.4,6.1,80.0,101440.0,0.0,0.0,342.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.91,99,9999,99999,9,999999999,3.53,0.24,0.0,99,999.0,0.5,9
2020,1,3,5,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,9.4,6.7,83.0,101410.0,0.0,0.0,336.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,99,9999,99999,9,999999999,3.46,0.23,0.0,99,999.0,0.3,9
2020,1,3,6,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,9.4,6.7,83.0,101300.0,0.0,0.0,338.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,7.6,10.0,99,9999,99999,9,999999999,3.4,0.24,0.0,99,999.0,0.3,9
2020,1,3,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,10.0,7.2,83.0,101320.0,0.0,0.0,338.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,99,9999,99999,9,999999999,3.34,0.27,0.0,99,999.0,0.3,9
2020,1,3,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,10.0,7.2,83.0,101410.0,48.6,1406.64,361.65,4.9,0.0,5.14,589.62,0.0,618.4,197.66,300.0,5.4,10.0,99,9999,99999,9,999999999,3.3,0.28,0.0,99,0.11,0.2,9
2020,1,3,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,10.6,7.3,80.0,101400.0,270.38,1406.91,370.15,38.15,9.98,34.02,4313.49,668.07,4066.93,944.35,0.0,0.0,9.96,99,9999,99999,9,999999999,3.39,0.24,0.0,99,0.11,0.1,9
2020,1,3,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,12.8,8.9,77.0,101410.0,470.73,1407.41,375.75,87.6,17.69,73.22,9910.22,1404.93,8700.98,2174.36,46.0,9.4,9.92,99,9999,99999,9,999999999,3.5,0.24,0.0,99,0.11,0.0,9
2020,1,3,11,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,13.9,10.7,81.0,101300.0,616.92,1407.3,379.83,163.23,22.7,137.39,18440.19,1914.33,16155.02,4173.98,92.0,7.6,9.86,99,9999,99999,9,999999999,3.61,0.23,0.0,99,0.11,0.0,9
2020,1,3,12,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,14.4,11.7,84.0,101220.0,698.97,1407.31,389.85,126.82,53.45,97.84,14864.22,4579.02,12766.78,2424.39,138.0,7.6,9.71,99,9999,99999,9,999999999,3.71,0.23,0.0,99,0.11,0.0,9
